iso,period,index_buy,index_sell,index_2021_buy,index_2021_sell,index_direct_buy,index_direct_sell,tot_net,tot_net_direct,tot_net_2021,buy_stages,sell_stages
CHE,201801,104.7501570166578,101.73414800568369,79.49928742307219,65.68173240006368,104.7501570166578,101.73414800568369,97.1207594366713,97.1207594366713,82.61927185651932,downstream,chips+upstream
CHE,201802,107.64657974976784,102.84632756628731,81.69750411234759,66.39977920845986,107.64722761980437,102.8298596110204,95.54072949215939,95.5248564080087,81.27516247883065,downstream,chips+upstream
CHE,201803,110.64101590437745,106.35461767815315,83.97010729792079,68.66480601437058,110.62790247692476,106.34373712773966,96.12585062493564,96.12740976438678,81.7729168437907,downstream,chips+upstream
CHE,201804,112.86602435505233,107.41914087218636,85.65875952887482,69.35208485765774,112.86689776718516,107.37724948819178,95.17402733551485,95.13617509863955,80.96321408236102,downstream,chips+upstream
CHE,201805,114.50711972944563,111.27648865961784,86.9042556366928,71.84247073216171,114.51602180189653,111.1693561755117,97.17866358226367,97.07755685735023,82.66853010340765,downstream,chips+upstream
CHE,201806,117.79223729326596,113.45124695725923,89.39746913500959,73.24654100100123,117.79530358388301,113.45872363566723,96.3147059299001,96.31854597231232,81.93357341065557,downstream,chips+upstream
CHE,201807,120.23473844166139,114.68793993112014,91.25118569599378,74.04497632053263,120.24415807986955,114.64671400418376,95.386692246823,95.3449347019688,81.1441251483743,downstream,chips+upstream
CHE,201808,121.40293276022291,116.80536701009083,92.13777735888316,75.41203233371938,121.41890341222977,116.75012868558336,96.21296978120577,96.15482054652114,81.847027891702,downstream,chips+upstream
CHE,201809,122.06057009380528,119.35807315064302,92.63688591290942,77.06011377841169,122.06594542387927,119.25704280981387,97.78593780031885,97.69886465523912,83.18512978821211,downstream,chips+upstream
CHE,201810,124.95530120910875,122.526862607593,94.83381876248428,79.10595173177917,124.98578400150674,122.45793787927293,98.0565541613542,97.97749308657109,83.41533934207976,downstream,chips+upstream
CHE,201811,126.52788374032357,125.14303300415857,96.02731760015828,80.79500705163683,126.4212062483222,125.06409060807971,98.90549759054916,98.92651266309167,84.13752364515038,downstream,chips+upstream
CHE,201812,127.00733830273671,125.32216869808497,96.39119577608811,80.91066087036363,126.94247707610474,125.23151050301861,98.67317146617549,98.65217174542737,83.93988706013671,downstream,chips+upstream
CHE,201901,125.57512771431847,127.14720946679678,95.30423109305741,82.08894605522642,125.51017045210762,126.83311799205403,101.2519053582448,101.05405604596102,86.13357991952395,downstream,chips+upstream
