iso,flow,stage,value_usd,coverage
DEU,M,3_litho_optics,11408162350.611,1.0
DEU,M,4_equipment,86323780833.14099,0.9980745372087526
DEU,M,5_chips,237638437990.827,0.9920018897460842
DEU,M,6_parts,45002932034.415,1.0
DEU,M,7_baseboards,18881433649.979004,0.9969840423453723
DEU,M,8_servers,42708660709.927,0.9967418162858322
DEU,X,1_raw_materials,14787066480.784,0.9998804565647084
DEU,X,2_wafers,17601935086.161,1.0
DEU,X,3_litho_optics,39066520217.731995,0.9999898791134253
DEU,X,4_equipment,171111523835.597,0.9999070733718481
DEU,X,5_chips,227130576044.96603,0.9999776015166976
DEU,X,6_parts,29448371816.209,1.0
DEU,X,7_baseboards,8222317196.723,0.999875093073105
DEU,X,8_servers,35324840016.57,0.999999712882012
DNK,M,1_raw_materials,253851437.46800002,0.9956407163771153
DNK,M,2_wafers,303100651.541,0.9999999980930426
DNK,M,3_litho_optics,301568782.11,0.9999999336204501
DNK,M,4_equipment,6521151063.663,0.9999999684978927
DNK,M,5_chips,4916902151.82,0.9999948164176929
DNK,M,6_parts,2850706627.0450006,0.9999999956870342
DNK,M,7_baseboards,1676927152.0570002,0.9999999609833976
DNK,M,8_servers,5992364931.888,0.9999999991158749
DNK,X,1_raw_materials,77210507.498,0.9967353980025773
DNK,X,2_wafers,171965998.921,1.0
DNK,X,3_litho_optics,342473955.604,0.9999999943528552
DNK,X,4_equipment,6251551695.450001,0.9999564665538639
DNK,X,5_chips,3504006735.745,0.9999930235593583
DNK,X,6_parts,4139284806.533,1.0
DNK,X,7_baseboards,1404822577.3910003,0.9999999664128405
DNK,X,8_servers,2655397929.355,0.9999951480236323
ESP,M,1_raw_materials,1072204846.0699999,0.9820802666566706
ESP,M,2_wafers,1507907784.507,0.9869067252289205
ESP,M,3_litho_optics,800653671.618,0.9986040892490489
ESP,M,4_equipment,16622425772.355,0.9940611089993147
ESP,M,5_chips,13913615477.387999,0.99016327156939
ESP,M,6_parts,6322508554.884,0.9994974493385942
ESP,M,7_baseboards,2198719697.9440002,0.9987863164920497
ESP,M,8_servers,6351665287.189,0.9978837952309749
ESP,X,1_raw_materials,440996180.60300004,0.9997837083013515
ESP,X,2_wafers,716328188.915,0.9998160273237334
ESP,X,3_litho_optics,353074124.679,0.9999658927597399
ESP,X,4_equipment,8036524863.855999,0.9981394186393615
ESP,X,5_chips,6051839725.360001,0.994246454704494
ESP,X,6_parts,1926121074.394,0.9999841390022641
ESP,X,7_baseboards,593815282.7669998,0.9993825570751708
ESP,X,8_servers,744660819.6539999,0.9974975433945005
FRA,M,1_raw_materials,4337180502.329,0.9370074462295747
FRA,M,2_wafers,7305583746.45,0.8862522029895552
FRA,M,3_litho_optics,3090056537.136,0.9362988804472038
FRA,M,4_equipment,32969268011.011,0.9085303833136718
FRA,M,5_chips,51902243808.212,0.9016438312898278
FRA,M,6_parts,13648711292.651999,0.8959896898357527
FRA,M,7_baseboards,5764204013.577,0.9189459057648675
FRA,M,8_servers,14989896084.748999,0.8677489463679497
FRA,X,1_raw_materials,2851960919.205,0.9337699684108391
FRA,X,2_wafers,6866694956.665,0.8892954458505319
FRA,X,3_litho_optics,1627352455.619,0.9542103537536027
FRA,X,4_equipment,27557236407.092,0.9049137364570908
FRA,X,5_chips,80101324456.435,0.8933661908860259
FRA,X,6_parts,8891819505.835999,0.8740014231740005
FRA,X,7_baseboards,3180919185.2990003,0.9085931917592338
FRA,X,8_servers,5592291181.026001,0.8742522614938332
GBR,M,1_raw_materials,2517640097.814,0.988258079318538
GBR,M,2_wafers,4772737002.176,0.9999646895798107
GBR,M,3_litho_optics,3325745838.922,0.999108816124698
GBR,M,4_equipment,29022037767.314,0.9962966236389834
GBR,M,5_chips,34321975449.645,0.9964275972062888
GBR,M,6_parts,15973084438.683998,0.9995375511568629
GBR,M,7_baseboards,7707451848.102001,0.9989702150152318
GBR,M,8_servers,32275444698.988,0.999410493725882
GBR,X,1_raw_materials,781684611.852,0.9938926145076732
GBR,X,2_wafers,3172279223.277,0.9999947174054299
GBR,X,3_litho_optics,3535503541.463,0.9994201100344107
GBR,X,4_equipment,35409636501.087,0.9962880860792523
GBR,X,5_chips,22879296967.407997,0.9974064105802058
GBR,X,6_parts,8997720481.630001,0.9999998475566112
GBR,X,7_baseboards,4683158200.740999,0.9525201996862251
GBR,X,8_servers,14296619202.054,0.9974748190261085
HKG,M,1_raw_materials,928296291.8549999,0.8432250319182226
HKG,M,2_wafers,2724062272.2939997,0.9233886596688361
HKG,M,3_litho_optics,21266376651.465,0.722036302565685
HKG,M,4_equipment,29656053046.51,0.9981030957003019
HKG,M,5_chips,2041183667127.7292,0.7986343509076861
HKG,M,6_parts,233169715637.64896,1.0
HKG,M,7_baseboards,63894405664.336006,1.0
HKG,M,8_servers,37981475419.300995,1.0
HKG,X,1_raw_materials,1104217541.396,0.8594025852245329
HKG,X,2_wafers,2628575349.45,0.9298871696439813
HKG,X,3_litho_optics,21919065762.54,0.8097668294952088
HKG,X,4_equipment,38727794243.61301,0.9859163963867382
