iso,period,exports,imports,net,exports_sa,exports_sa3m,imports_sa,imports_sa3m,net_sa,net_sa3m,exports_12m,imports_12m,net_12m
BEL,202101,388587463.3598303,551213542.2167481,-162626078.8569178,383516452.54719955,391212262.4656055,523157046.9077832,489276007.47569317,-139640594.36058366,-98063745.01008767,4351223999.233157,5547370065.970436,-1196146066.737279
BEL,202102,379271664.08973086,456917475.1256713,-77645811.03594047,392124617.5244849,388069699.3001556,517797099.28251094,501766036.2372959,-125672481.75802606,-113696336.93714035,4381134972.272512,5525642710.660687,-1144507738.3881755
BEL,202103,425881939.0090825,545422695.5506874,-119540756.54160494,392645203.258959,389428757.77688116,521654867.76117927,520869671.3171578,-129009664.50222027,-131440913.54027665,4426821400.230709,5554401812.608628,-1127580412.3779192
BEL,202104,394409857.2562558,523218761.1152993,-128808903.85904348,406241621.53202903,397003814.1051577,541842461.3085499,527098142.78408,-135600839.77652085,-130094328.67892236,4505995796.405031,5670980331.700811,-1164984535.295781
BEL,202105,372875168.30017024,583468366.8040915,-210593198.5039212,399490824.6031934,399459216.46472716,566601820.5321157,543366383.2006149,-167110995.9289223,-143907166.73588777,4576297995.722453,5846591303.943627,-1270293308.2211742
BEL,202106,457653834.1267237,625426019.4799287,-167772185.35320503,412695738.87657696,406142728.33726645,561611980.3205177,556685420.7203945,-148916241.4439407,-150542692.38312805,4687741368.909832,6037620698.627724,-1349879329.7178915
BEL,202107,392548753.1943385,534217145.79003704,-141668392.59569854,417005683.13897675,409730748.87291574,591560735.9231318,573258178.9252552,-174555052.78415507,-163527430.05233943,4722910868.500625,6124030854.381438,-1401119985.8808134
BEL,202108,409231863.67835575,638721120.7932634,-229489257.11490768,415882506.62942785,415194642.8816605,595779376.0921193,582984030.7785896,-179896869.4626915,-167789387.8969291,4828542521.356557,6351018511.532253,-1522475990.1756968
BEL,202109,513354454.09931654,617187669.9734803,-103833215.8741638,497366209.5000981,443418133.0895009,612938556.2019411,600092889.4057307,-115572346.70184302,-156674756.31622982,4953890514.312824,6499144171.922922,-1545253657.610098
BEL,202110,388642565.0532939,639330971.5490061,-250688406.49571222,420467211.72423005,444571975.951252,639287927.132256,616001953.1421056,-218820715.40802598,-171429977.1908536,4915799378.071532,6630075565.665473,-1714276187.5939417
BEL,202111,412676606.821478,699728181.5107105,-287051574.68923247,402714195.1067608,440182538.7770297,752626740.098728,668284407.8109751,-349912544.99196714,-228101869.03394538,4929082318.059233,6877934590.697003,-1948852272.6377707
BEL,202112,433269046.5476501,653208863.6907358,-219939817.14308572,423153718.6675045,415445041.8328318,620368906.4738792,670761191.2349545,-197215187.80637473,-255316149.40212268,4968403215.536226,7068060813.599659,-2099657598.0634332
BEL,202201,414034986.7714596,670935248.7228109,-256900261.95135128,414225324.3390345,413364412.70443326,624931992.274882,665975879.6158298,-210706667.93584746,-252611466.91139656,4993850738.947856,7187782520.105722,-2193931781.1578665
BEL,202202,447754994.62491566,535823574.5223396,-88068579.89742392,461766458.4034606,433048500.46999985,629556177.7744913,624952358.8410841,-167789719.3710307,-191903858.37108427,5062334069.48304,7266688619.502391,-2204354550.01935
BEL,202203,487170470.2047621,623643324.4571886,-136472854.2524265,433987088.7689553,436659623.8371501,575520960.8222595,610003043.6238776,-141533872.05330426,-173343419.78672755,5123622600.6787195,7344909248.408892,-2221286647.7301717
