iso,freq,period,px,pm,tot,px_2021,pm_2021,tot_2021,px_direct,pm_direct,tot_direct,base_period,cov_x,cov_m
BEL,monthly,201702,97.24942021488685,92.46748924331072,105.17147270971464,78.29538021489259,48.543712515776,161.28840617504838,71.27262659288607,99.11586005673541,71.90839745736812,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201703,96.75180082487016,84.03537872660355,115.13222441662049,77.89474749895896,44.117011280845524,176.56397212197118,97.49949453514222,90.26893303643642,108.01002211446017,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201704,95.71404417475075,91.0566342464371,105.11484963930116,77.0592509858477,47.803039875801254,161.20157041488997,96.38995572145092,79.30804490819024,121.53868606020397,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201705,91.73687303628022,98.26038722900593,93.36099278998158,73.85723573703513,51.584876245342166,143.17614214244438,88.96965459367847,97.21048031504678,91.52269827835349,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201706,100.82452301645462,99.43367762612935,101.39876692035354,81.17369077486885,52.20083188771515,155.5026765655283,96.76493522901136,96.80509340054304,99.95851646837886,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201707,102.9512368124615,105.17724766363,97.88356236675106,82.88590525284397,55.21609936168115,150.11184457257244,97.1680159064642,112.50333742712913,86.36900747002467,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201708,95.44787718459693,106.79495372453725,89.37489446438778,76.844960292405,56.065364964092765,137.06315894246046,91.0580406773693,92.77930851770587,98.14477185933318,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201709,106.84451779939161,90.55268829349828,117.9915470351233,86.02038065106791,47.53847762086017,180.94895957148123,113.32111257509455,96.86642816371754,116.9869837500009,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201710,100.01095841400777,97.5650521580193,102.50694916047092,80.51869098425618,51.21983826210793,157.20215782841186,107.89782138155968,100.63912822745786,107.21259542083493,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201711,97.03229989252058,95.64263251702889,101.45297901042642,78.12057692913024,50.21060369598531,155.58581490502277,113.19255863347554,87.91522953797691,128.75193436716165,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201712,99.95442517872121,109.68315911337896,91.13014795224743,80.47317615093625,57.58161909005402,139.75497289348755,116.11768737761359,127.42626213505328,91.1253970979277,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201801,104.37282552882917,107.27738924966243,97.29247352014356,84.03042445729028,56.318634644395765,149.20536512980274,110.3029945010941,137.89295658777206,79.99175391593239,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201802,101.2524444603938,110.42053032260198,91.69711842949593,81.5182097661522,57.968725264244,140.62446499308115,120.93940778292485,131.50684172926205,91.96434663977958,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201803,103.77888224673643,109.83286003516545,94.48800861009109,83.55224150262816,57.660209290458695,144.9045061243889,122.83706310137174,127.24856986398953,96.5331580800216,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201804,101.54986535212538,120.88920356755268,84.0024273097138,81.75766293461861,63.46458406373278,128.82407430972123,115.95196794461782,143.41855519675138,80.84865154689851,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201805,90.62585974179922,113.49290014799203,79.85156747569694,72.96276039596904,59.58166229504664,122.45841687776283,105.93939202890621,137.54214396186086,77.02322283000198,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201806,94.22987233632365,109.77997668730791,85.83520891494045,75.86434619220351,57.632446516144434,131.63478349119157,108.55864716779715,129.18828085374213,84.03134282025133,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201807,90.22175040373403,103.6628565861429,87.03382616970485,72.63741249978325,54.421072204530255,133.47295368748098,111.60532737331809,130.82797917703482,85.30692599195095,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201808,90.22952461299329,99.31779345158279,90.84930451760387,72.64367150542542,52.13999485082411,139.32427824986107,98.52435382137317,127.30274271626615,77.39374008694016,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201809,99.37900494217482,100.66419282800439,98.7232919176877,80.00990607586338,52.84682948854688,151.39963333695044,107.22896109155766,118.71444100512458,90.32511982845362,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201810,98.5094708030155,107.66371781358981,91.49737051954301,79.30984528491086,56.52144995707908,140.3181364687861,109.00220909907658,142.27091259061285,76.61594848465788,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201811,99.09148442314674,86.78419391418122,114.18148853365615,79.77842368442965,45.560088142959216,175.10594675343816,110.83052162964218,98.52363004361354,112.49130952704517,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201812,90.14299010913224,99.96911669576221,90.17083784331716,72.57400269026398,52.48192744333879,138.2837983010766,80.48298950009043,148.0544037034137,54.360415824790984,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201901,106.75922410998014,95.64857245593319,111.6161186401039,85.95171081398665,50.21372205346308,171.1717580355285,118.45295069542357,119.94375708371881,98.75707879714433,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201902,93.73051467433223,101.80990949039983,92.0642353416202,75.46231399579095,53.44830943289266,141.1874665381851,106.63831748347812,131.37835895057228,81.16886094124378,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201903,91.66677211727085,101.32058509966298,90.47201220472991,73.80079757940783,53.19142322623483,138.74567195827188,101.41651059062382,142.33880812324,71.25007714186789,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201904,88.58707293927634,115.92508865086242,76.41751580288077,71.32133582471799,60.85851603503349,117.19203896404824,90.08392783159937,117.19678401906557,76.86552885012999,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201905,107.04512481429795,132.18029013824201,80.98418054790451,86.18188909472917,69.39219456731237,124.19536466904837,112.00172516282278,122.5774084511413,91.3722410826348,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201906,109.21267895771373,134.93830774355516,80.93526648138204,87.92698408264897,70.84010252762779,124.12035124929028,112.88955491594817,181.84665089756425,62.07953479414906,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201907,99.98185222411597,123.06715158404067,81.24170498562316,80.49525762908398,64.60796627570677,124.5902978675727,101.7356719618508,171.26525161974413,59.402401245835854,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201908,104.46199684368558,152.04749691996565,68.70352946268625,84.1022161655135,79.82210871763344,105.36205760113494,104.15031659307922,201.5131417938571,51.684131201538406,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201909,108.40303590703064,123.37004530890694,87.86819818019819,87.27514152819974,64.7669798492672,134.7525262584669,93.73523666880575,163.4603585901346,57.34432340494266,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201910,109.92340669438762,150.97255993982498,72.8101893073822,88.49919004798215,79.25778679039672,111.65993100718927,110.79955466789515,199.53492877976393,55.528901804550635,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201911,111.24805034691518,149.72220552737642,74.30297326642953,89.5656589091303,78.6013739729034,113.94922808856582,114.79148894569245,202.1297877337762,56.79098080134708,201702,0.9999857243002641,0.999931899479407
BEL,monthly,201912,119.00567289488247,141.7218729807154,83.97128149094952,95.81131061188199,74.40134814378408,128.7763098414859,120.62702310327387,191.87745193219607,62.86670053649658,201702,0.9999857243002641,0.999931899479407
BEL,monthly,202001,94.36405187510745,135.9363653691735,69.41781297361841,75.97237396227065,71.36406422323208,106.4574653772849,95.48180218572556,191.3307266817409,49.90406080699717,201702,0.9999857243002641,0.999931899479407
BEL,monthly,202002,94.31499470440322,143.36114855066174,65.78839222334611,75.93287809870593,75.2619373373786,100.89147421002423,87.74410525103495,197.3019226949969,44.47199705533327,201702,0.9999857243002641,0.999931899479407
BEL,monthly,202003,109.30130016426646,114.26254196820818,95.6580330539801,87.99833289940095,59.98570993996952,146.6988270830919,114.64998389519832,150.41072756277896,76.22460562019774,201702,0.9999857243002641,0.999931899479407
BEL,monthly,202004,107.5286115913189,116.73215806124895,92.11567178848782,86.57114366254133,61.28221246886864,141.26634821893785,110.2723236529416,156.33008560389163,70.53813296843516,201702,0.9999857243002641,0.999931899479407
