period,hhi_exp,hhi_imp,hhi_F,hhi_flat,hhi_bilat,mu_a,mu_b,aligncov,frag_exp,frag_imp,effrank_exp,effrank_imp,crossbloc_cnus,within_cn,within_us,clip_R,clip_C,clip_F,a_1,b_1,hhi_row_1,w_1,a_2,b_2,hhi_row_2,w_2,a_3,b_3,hhi_row_3,w_3,a_4,b_4,hhi_row_4,w_4
2017-12-01,0.3391903504170748,0.3795858738113875,0.20414822817868347,0.015502138276914894,0.01802690525537484,0.2647678418530543,0.25869090709625087,0.007442665187043437,0.9248538075307569,0.9624287832726504,2.8534975293217335,3.1163595138934923,0.11702803768474704,0.002504229887339735,0.11875540173993726,0.04889263948006747,0.004353112202771899,1.7240664787814672e-05,0.5565542194356371,0.7396042392110884,0.9126641291300003,0.09252373632680513,0.23190066580359672,0.07031119465987302,0.45955377934224234,0.6244554028471595,0.1614209431659499,0.49719657064277695,0.443397033446978,0.1473098246132412,0.8776394564410731,0.5147543954922188,0.40792476301549296,0.1357110362127942
2018-01-01,0.3389183271822159,0.4136922635256915,0.1919531544469384,0.01864029380978703,0.021818468673997456,0.26789569910126726,0.3282776141866453,0.00916439589108585,0.9205664818441749,0.9655342081852784,2.8621309800975503,3.1223073685324474,0.12579621635695684,0.0028619821392491273,0.13281754156944825,0.050209780027382175,0.004083480243332635,6.313550601338694e-05,0.5597534146810652,0.7404914375132418,0.9519269805172769,0.10965443581317122,0.22777020836953418,0.07072467408635857,0.44364649125234856,0.6060765933860316,0.16715900309474718,0.5055615935889399,0.4419660873196566,0.1543425428505881,0.8750563417551269,0.518097628952861,0.41553503053703933,0.1299264279502092
2018-02-01,0.3435371347321128,0.4078924964873632,0.19625171892834065,0.018524823328076957,0.021730319878268168,0.2694122951622967,0.32017322205232873,0.008134574839255143,0.9221589133028134,0.9650974301670328,2.867484224392109,3.121218979447161,0.1238678538952444,0.002696723936455039,0.13055152965166272,0.050195113559078595,0.004082403316223343,0.00013365352673395573,0.5617564156504523,0.7433371443875338,0.9494052897246383,0.10762429665324903,0.2271256746168959,0.07034491801389207,0.4491011291731438,0.6140369046188746,0.16998363086693707,0.5116867613510179,0.40196606480245317,0.14186493762961971,0.8756272538447467,0.5174883001657462,0.42068210348679713,0.13647386109825654
2018-03-01,0.3415807214748056,0.39555876726018324,0.2073359111924748,0.017064192424844263,0.019819935560633918,0.2652243500302106,0.2866159971026558,0.006284614062181365,0.9271983252146587,0.963843972123843,2.8811951349527414,3.1174554818381113,0.1227150345176624,0.0032344188150739755,0.11781846843344386,0.04985276836984726,0.00404727029340729,4.6040368060417776e-05,0.5652299608826244,0.7472546100637723,0.9653546669070994,0.08832882543971018,0.2318127548867031,0.0708105366532628,0.45291445352503923,0.6368118122181781,0.1713349090501995,0.5135791505373198,0.45002772303810534,0.13728935433036263,0.8759980834192781,0.5119423449426245,0.40431520585344405,0.13757000801174923
2018-04-01,0.36101316539540895,0.421046529326182,0.1851024268981415,0.019683928492251958,0.022753219843674885,0.2910008045492685,0.32246072760757255,0.012504405805883634,0.9291485517585552,0.9654148403598445,2.907096201495794,3.110250643713598,0.12247491498627044,0.003035208063418285,0.1474765610989994,0.04393747938350924,0.0038600196217162025,2.454289851375222e-06,0.5847729843324769,0.7600619037692564,0.9440489268308675,0.11732258114081238,0.23947473813471926,0.0705554850349195,0.4431704582562472,0.5887989676759706,0.17562831164090295,0.5179883820838391,0.4134041758902753,0.1529310510288603,0.8836245895124705,0.5183140333334555,0.4429196856053355,0.1409474001543567
2018-05-01,0.362852234526026,0.44352182958538605,0.17842370531149032,0.020918933520271753,0.024145483487928537,0.2937686269809798,0.36099156506125485,0.011195020609573142,0.9305898552119903,0.9669533120064981,2.918124874769728,3.1059601386484115,0.13234555185569497,0.0025926661907978376,0.14868510837214233,0.042298062189030414,0.0036583108736903567,4.913600605955461e-06,0.5912697029948282,0.7699361608718177,0.9223927234183205,0.11572629735245078,0.24099668568340646,0.07050887140000213,0.4253961249121662,0.5880925011031343,0.17983726598934097,0.5241634392665445,0.417833613217004,0.15555438469975258,0.8869144944192564,0.5222106701133331,0.44678947046203277,0.1406268168446624
2018-06-01,0.3597800116320772,0.4271193343973091,0.1741113801906142,0.018145700926483856,0.021014072150826096,0.2901872154206073,0.3254452271785378,0.009778881056110217,0.9326685815567933,0.9654412340276533,2.9226876595032043,3.1055039902461306,0.1227319617294898,0.002786106615051774,0.13682711553873736,0.042068016068422,0.003752498696598952,8.476291589801466e-05,0.593187399672542,0.7703978262027649,0.9395727278163212,0.10125492708494141,0.24153464151553442,0.07037209076928563,0.42840907549973795,0.5786759645600986,0.1824281215194757,0.5294999039598777,0.38795441294473976,0.17637153413828455,0.8891691186229215,0.5180313535923544,0.4334695400060713,0.14369757421667534
2018-07-01,0.3707917264639676,0.44723437262529026,0.16195772272394326,0.020329534519686773,0.02343014369818045,0.30411640397019046,0.37941174317748555,0.010138376894532994,0.933347384727296,0.9670704546839893,2.918117409890721,3.10979883042907,0.12632757122360286,0.003261277653499898,0.15065877335199235,0.04148012769077941,0.003670635939849051,0.00019447535877016033,0.5955190954237701,0.7694478527658642,0.9416636251950586,0.11132640106959914,0.24052038036598056,0.06995440952638715,0.4207501197621738,0.5467587550900054,0.18215867204029434,0.5366475728223692,0.3997306744572456,0.18589339383670211,0.8917107954956668,0.5215615073140722,0.43925766496014285,0.1560214500036934
2018-08-01,0.3460342821371176,0.4326311020181566,0.19081345389605364,0.019716560440528507,0.022943518000579546,0.27772349482536646,0.34588969507862394,0.007267289666180385,0.9258811214844797,0.9672088850522349,2.921815019943697,3.104494157814455,0.1337493355284743,0.002534073629012649,0.12029383490724557,0.040884805718719455,0.003845834299666427,0.0,0.59976815930256,0.7721719833780069,0.8887689203577019,0.11419611384122261,0.24112347990345268,0.06953725571273835,0.43111562907477735,0.6166665544393168,0.1819609837131562,0.5380747474399101,0.4094981005300127,0.15636408928961643,0.8902656155380904,0.5169559135211131,0.4141821418478905,0.11277324242984418
2018-09-01,0.35390160409718374,0.452540722001333,0.17856468833857053,0.021209556214922896,0.024551108539763757,0.2838436284513328,0.38794328724736843,0.008662767829585472,0.926412282996631,0.9679975410741788,2.911417305906692,3.105190282232897,0.13678517635874549,0.0030097508088766777,0.1405703136049094,0.04241923468804135,0.0037139782871802806,3.5049685911287536e-07,0.5949499717440035,0.7778277600938677,0.9105721596276539,0.11226026811431253,0.2360399552530485,0.06923959704328049,0.42135588498920645,0.5942170104383795,0.18083796844131275,0.5426872129373953,0.4116886753153949,0.1605765907041556,0.886186450853294,0.5262800733409387,0.43541521714001924,0.1329461307431524
