period,hhi_exp,hhi_imp,hhi_F,hhi_flat,hhi_bilat,mu_a,mu_b,aligncov,frag_exp,frag_imp,effrank_exp,effrank_imp,crossbloc_cnus,within_cn,within_us,clip_R,clip_C,clip_F,a_1,b_1,hhi_row_1,w_1,a_2,b_2,hhi_row_2,w_2,a_3,b_3,hhi_row_3,w_3,a_4,b_4,hhi_row_4,w_4
2017-12-01,0.4097026894922836,0.168349696469917,0.09169168331544411,0.006394456330814927,0.009835143675819877,0.3983499433312566,0.1745512393940208,0.00020619680178983468,0.9212570862754662,0.7945093423731134,3.349703567452381,3.1960427051635705,0.07563621523480864,0.004306740382776814,0.03538271668892708,0.022882771246477848,0.10708790008071566,0.0,0.510942405391715,0.24820127073128004,0.3819192037662888,0.26693901198844106,0.3763579143472267,0.23016654081992513,0.2756291553552365,0.30979071429940297,0.7160189016591759,0.08920311630832252,0.5026996368320475,0.13968041391275843,0.1999585774440616,0.149011335050504,0.35086006657961405,0.28358985979939766
2018-01-01,0.4081355468670507,0.16703083640867294,0.09968625079221918,0.00658058707871256,0.009905262797857514,0.3837441572786978,0.16887524812056337,0.001208096232500816,0.9234778633958863,0.7862208026993313,3.3907547473444586,3.146038299715627,0.07798742253834835,0.007502869425710826,0.035433890605385564,0.02260431696080403,0.11287434115351315,0.000765968981749962,0.5115673688840165,0.24343354048331464,0.3949813552679205,0.2390800459047142,0.4017878568756014,0.21690885078961294,0.34624393105341195,0.3238575423063459,0.7047912582888466,0.07677454329344344,0.4280943612122385,0.13497897719510907,0.20052726782653807,0.17927031090318266,0.36156577365015197,0.3020834345938307
2018-02-01,0.4223310943640453,0.17047681065139653,0.09971926285148872,0.006910333744054605,0.010621429952990633,0.38996056657305206,0.16509364560194406,0.0049178707628596136,0.9192514636518092,0.777212925215208,3.4380454981500206,3.0680475463544727,0.07987086394744547,0.008672382030640918,0.033110215202982345,0.023622460208754234,0.06980124562881591,9.03932231891592e-07,0.5148782338778799,0.25373911118633863,0.380246001006963,0.26950602451601824,0.4284225536893194,0.15167758544433768,0.3534963355611652,0.29539066290582955,0.6827840508121118,0.2161028206534161,0.31448824042265355,0.1443150455472136,0.20110947222506023,0.07890227233712765,0.4104448688798281,0.29078826703093863
2018-03-01,0.4242767220279716,0.17726322607247227,0.10056420000594472,0.007518358853402782,0.01155036258188338,0.3952782895737876,0.1752270819819499,0.0054983212995916575,0.9181468041476413,0.7805927004549991,3.4703409945006642,3.111518800707254,0.08279715546805227,0.008610949387413306,0.03165941733469742,0.022496446781131257,0.07350502792937424,0.0,0.515166995733085,0.2468216347289197,0.3820343240932947,0.27887745703249517,0.45024366685309347,0.16465455811482033,0.3390883859780228,0.2989713399684472,0.6798398947137967,0.20573823194095528,0.33028523157526957,0.12363818786689676,0.2075089934354179,0.08445805369017585,0.3983219988443672,0.2985130151321608
2018-04-01,0.44291813914934086,0.1839132651862802,0.10533936572924982,0.009305309999864697,0.013584200503888196,0.4371198247598552,0.19294666256254456,0.003995680310382471,0.9307104961487929,0.7978937852736172,3.5010820887497993,3.1571602629710536,0.08174709189613272,0.0070232080443428865,0.03036031176974066,0.021295714673120678,0.0704503650258525,0.0,0.5063276337690173,0.24489330936321405,0.4464244558233619,0.2577647390082909,0.48434684181351684,0.17724929444523016,0.32682762134366883,0.38320730603117137,0.664470782926302,0.20084238825274345,0.3406474257244654,0.11468239358230883,0.20706895678903872,0.08675762440659841,0.38863898240679384,0.24434556137822874
2018-05-01,0.4355770693176282,0.18787344021426647,0.10894124097879679,0.009636518051294844,0.013590498607605873,0.42419532230605017,0.19545099619163983,0.005546708515377238,0.9208328931631238,0.8057391841350873,3.5104748500595133,3.151904285687561,0.09728083909730773,0.007855596181367141,0.03350770292464461,0.02118561325332918,0.06729474325073298,0.0,0.5042306368880606,0.2519536790244336,0.5025041178149047,0.27686427607390585,0.4956116628538835,0.1753137397870864,0.35949000605783105,0.3069628684202432,0.6551442889432764,0.20262451515851765,0.32889579976006494,0.1293429113867493,0.2060488206012077,0.08576614110952867,0.37736930600223584,0.2868299441191017
2018-06-01,0.44846570003988107,0.18705367109165466,0.10165772790652647,0.009232797143507441,0.013270847944220322,0.43759768491182416,0.19729888977420643,0.004484846038560655,0.9252766761044321,0.8043063994707811,3.5185516650025983,3.1507814294099235,0.09300293976832089,0.0070270795846847905,0.03354535335041784,0.019640219814713655,0.06723533857380515,0.0,0.4834775914019966,0.2559306872852449,0.5033229631268182,0.27034243212759074,0.5320425613669684,0.18174775329038298,0.3160252562382473,0.3125459875617626,0.6480306789090037,0.2025817441292747,0.33655035128897526,0.1483584848099892,0.20588627862067993,0.08388816017817824,0.36819226653115417,0.2687530955006574
2018-07-01,0.45486795428140175,0.191564557840127,0.11684720022788465,0.01090940394337319,0.014669937267968503,0.44646781847934514,0.19581614176824946,0.00593909563049673,0.9351171120083754,0.8278488288442024,3.509915905991403,3.2345602212409355,0.0830184053997975,0.006367650881302534,0.031652537048372655,0.018803437141477447,0.060965530385352774,1.9600444647854823e-08,0.4874328586079415,0.2595600812346518,0.679740783628429,0.19914024651928622,0.553786342745458,0.18660802063783052,0.35997655399937184,0.37370880833153386,0.6486238413426703,0.1922616451308769,0.34169897134893756,0.1450265111837457,0.201251507571875,0.09353540825699384,0.4074452609099003,0.28212443396543424
2018-08-01,0.45035815907992177,0.19580204338936466,0.11104843442802918,0.01110886189125488,0.014860936025902844,0.4482291854951497,0.21336909841299023,0.004397929256997682,0.9261939388424002,0.8244951990889063,3.4894482848341046,3.256135280039283,0.09791862993621528,0.007515861557352324,0.03545638881712784,0.017871452769691692,0.061442814414751176,0.0,0.4782946332432953,0.2623144393974056,0.5473738310970705,0.27848080817620596,0.5679107544598964,0.1936460691372669,0.3527044584322725,0.3206330280431612,0.6532854514722791,0.15927167150134947,0.3642260254553099,0.12407854226564069,0.19512696727635953,0.1037350140487729,0.34887070770053724,0.2768076215149921
2018-09-01,0.4401442659548497,0.20077548728080152,0.12182239262582553,0.012099385870369073,0.015602562312655352,0.4336949352761588,0.21909876725479216,0.004297858038644312,0.9216977070576908,0.8429770769158017,3.4678273892577742,3.3365985380604295,0.10081636967101047,0.005904811971852082,0.03603835825961746,0.01713428092054664,0.052033851859451453,0.0,0.4794245323792965,0.26625332884705527,0.5915384608477307,0.2950953376853668,0.5759088680157717,0.20368285730977453,0.35502875852822363,0.3057933756451754,0.6634662190994056,0.139815642290229,0.42852600607228536,0.09947768398070926,0.1887609449681882,0.11868710760309861,0.36613016115919517,0.2996336026887485
